1,,,,,2,,,,,5,,,,,51,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
5.83261923365679,8.07480072047274,2226.25882352941,0.539443462008973,,14.7601979629192,824.204332653142,1436.6375,0.420474256124004,,3.3181844089282,7.52473520139015,1139.22222222222,0.671750878426934,,18.9726814552154,7.47083153876673,2250.28,0.514192029036192,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
319.191162790698,346.446046511628,2150,0.477801700218869,13.0302374811709,813.417974322397,1001.06562054208,2103,0.570890353287416,8.6896219343486,1014.18321299639,367.311371841155,1108,0.216337810344888,4.14642079800501,,,,,
324.330690298507,353.873600746269,2144,0.797272197425133,9.03234769658828,820.732594936709,1001.09071729958,1896,0.957626776557874,7.3146636681777,1015.96887470072,369.976057462091,1253,0.0810778811196566,3.20766849607729,,,,,
320.10835214447,356.035214446953,2215,0.406873050930798,4.74349167576261,826.365591397849,1010.87029569892,1488,0.256025264118475,11.2858673924599,1013.41680532446,370.506655574043,1202,0.293767277993428,2.60664390695135,,,,,
320.547951807229,357.360963855422,2075,0.452432504608255,1.39673166984728,831.103773584906,1010.93317610063,1272,0.375021537651783,4.7385994114986,1013.6875,364.094866071429,896,0.362346934196753,6.41750108945888,,,,,
316.834456207892,361.056785370549,2078,0.617848851642834,5.23919328121877,830.747545582048,1009.84712482468,1426,0.295902702341517,1.14298108645801,1011.7082111437,357.436950146628,682,0.811089031787209,6.94589294752025,,,,,
321.736297828335,356.944674250259,1934,0.407776275810041,6.39824266009965,834.926856504746,1009.74706867672,1791,0.230784085123624,4.18050846444918,1013.46336996337,358.430402930403,546,0.634817316437576,2.01681206756443,,,,,
321.599171652094,356.759779107225,2173,0.607069692476106,0.230195139236034,851.69294468367,999.853593905267,3019,0.210622576340599,19.4674743065654,1013.68076923077,358.215384615385,520,0.693429225246626,0.305770039832324,,,,,
323.914761904762,353.607619047619,2100,0.45684198329204,3.91127488929458,859.901859504132,994.540977961433,2904,0.26566228550588,9.77804534128787,,,,,,,,,,
320.098173515982,335.609589041096,2190,0.255538806003427,18.3982453251684,827.661787365177,1009.85978428351,1298,0.365767322918725,35.6943704056877,,,,,,915.681526256139,960.457121269362,2647,0.324517194283943,0
319.517389232968,331.022868032396,2099,0.413242773320625,4.62334510879742,828.014802631579,1010.95641447368,1216,0.331734432093595,1.15204928380135,1014.9056261343,356.582577132486,551,0.435298338388696,2.04116013833767,906.593469387755,946.925306122449,2450,0.162873847890894,16.3003925969037
312.695460024106,338.209722780233,2489,0.332928495761051,9.90906651997184,828.959770114943,1012.38888888889,1044,0.304627395783785,1.71608464092851,,,,,,894.649926864944,906.799122379327,2051,0.584520579011034,41.8659626639705
311.233239662786,338.200722601365,2491,0.219648866078271,1.46224805976227,825.974783861671,1011.86167146974,1388,0.178641688323683,3.03118807388638,,,,,,876.834391534392,891.612698412698,1890,0.746754453274999,23.4098434853452
310.280898876404,347.63087806908,2403,0.320296045508907,9.47812139185231,823.475106685633,1011.1280227596,1406,0.242900906736835,2.60511543204823,,,,,,869.651413690476,888.896949404762,2688,0.481700307978726,7.67922283699903
310.257853403141,357.866055846422,2292,0.432063731245538,10.2352037218432,826.805573558004,1006.58198314971,1543,0.177636101159809,5.6354667706126,,,,,,864.892764857881,887.892764857881,2322,0.653041117046687,4.86344788356488
313.563903950426,351.854763749032,2582,0.264233738470663,6.86043751530118,841.207671043538,1003.96544574983,2894,0.0859383883745163,14.6378509333786,,,,,,886.243079584775,869.518598615917,2312,0.705126163271858,28.1681721811118
319.793381417056,351.260076368265,2357,0.336243349588875,6.25779854166692,847.826853146853,1000.76391608392,3575,0.077294546102499,7.35277933291575,,,,,,903.092461474386,849.16576426489,2401,0.970850721639498,26.4223302564762
319.278756957328,352.689703153989,2156,0.525305232938603,1.51943117021125,845.409375,989.911875,3200,0.0888380110666259,11.1180482224856,,,,,,883.665554628857,867.543786488741,2398,0.28206585013534,26.7424084638088
324.287748058671,356.134167385677,2318,0.35544287305815,6.079006966332,789.878929765886,966.014715719064,1495,0.450020706930842,60.4541526249219,1008.25246548323,365.865877712032,507,0.447992941935121,11.4212178115595,887.428984310487,882.565235342692,2422,0.105363934875946,15.4857136949011
