1,,,,,2,,,,,3,,,,,4,,,,,100,,,,,271,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
2.56394004954572,8.80916399304404,1393.47368421053,0.641162956001751,,2.05041039729789,5.2502969484229,1346.91764705882,0.639206445609859,,1.97768690123964,5.80685325490012,1342.42352941176,0.674808573702466,,4.05920432942329,22.4107587071085,4499.37647058823,0.375563128643911,,7.92097968657407,8.155759576172,2254.58333333333,0.294187188693362,,2.82362039459359,9.37982853148156,1048.95833333333,0.376891098433291,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
,,,,,381.489626556017,919.30428769018,1446,0.466324500466625,1.02763275405973,392.609923664122,812.560305343511,1310,0.587941375079224,1.04944085733572,715.308920587609,176.720672769853,4697,0.224047474201973,1.54895277834073,975.031503431067,666.188084840923,3206,0.221814508385787,4.85507047431708,,,,,
,,,,,380.026737967914,917.48128342246,1496,0.479724385019617,2.33738905219573,392.567092651757,807.550319488818,1252,0.742635632407008,5.01016893526057,715.346883468835,171.498019595581,4797,0.23200939529353,5.22279114641684,973.581088992974,665.581381733021,3416,0.254252041576102,1.57219295996555,,,,,
,,,,,380.786805555556,917.285416666667,1440,0.556304758109829,0.784899053259422,394.19984973704,808.078136739294,1331,0.77586475302694,1.71595068386026,716.150765359614,170.957433424198,4769,0.25408011450486,0.96874119506365,976.334818941504,669.922562674095,3590,0.548108387738963,5.14090270211091,,,,,
,,,,,380.874909616775,917.992046276211,1383,0.471881983160857,0.712100927318769,396.442119944212,807.463737796374,1434,0.775098694721231,2.32492187890971,717.668246445498,173.095404904183,4853,0.244505716150265,2.62176865784214,975.841386841387,672.803712803713,3663,0.767185743518745,2.92309789552529,,,,,
,,,,,380.494038748137,918.055886736215,1342,0.46322698638862,0.386184182626063,397.556849315069,806.321232876712,1460,0.774905807932087,1.59622650701615,717.971729957806,174.793670886076,4740,0.249569619324621,1.72516943733011,976.307256819352,674.572053525476,3886,0.620030697200411,1.8286781413402,,,,,
,,,,,381.142652329749,918.091039426523,1395,0.512981641258266,0.649565462357364,399.212663454921,804.830006882312,1453,0.717956018096394,2.22833467686272,715.863636363636,169.330615572768,4906,0.232768178969146,5.8556837310463,981.852282157676,675.25643153527,3615,0.794137267342791,5.58709936039737,,,,,
,,,,,381.835768963118,919.288796102992,1437,0.575992391146474,1.383846712421,402.67462879277,804.727566171724,1549,0.523970107877541,3.46348063364753,716.755962171053,174.849095394737,4864,0.224547889030288,5.5901578593147,986.281337047354,679.273599504797,3231,0.589053894870981,5.97947871567196,,,,,
,,,,,380.341763499658,921.293916609706,1463,0.547673318346358,2.50051206181666,402.485284499673,805.459123610203,1529,0.54387174124959,0.755663646817983,713.69204636291,170.55895283773,5004,0.205659413717169,5.27189749889271,990.393129770992,684.215502055197,3406,0.312202337384213,6.42878217237225,,,,,
,,,,,381.332650273224,924.092896174863,1464,0.676160802937239,2.96919908463476,403.262945527909,808.035642232683,1487,0.555584307766237,2.69132028692709,716.45264681555,179.458023159636,4836,0.231294296309,9.317422790308,991.810582341891,693.571383844709,3194,0.189580119873931,9.462647401762,,,,,
,,,,,381.808467741935,921.728494623656,1488,0.61380020797787,2.41180367337049,403.359040829553,805.961762799741,1543,0.493913984061312,2.0761045757331,713.97070389304,175.36767597326,5086,0.201424236085883,4.78445198279739,990.314277899344,695.620076586433,3656,0.168876587135452,2.53694086150655,217.40655105973,114.71676300578,519,0.797328685948963,0
