1,,,,,2,,,,,3,,,,,4,,,,,14,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
16.7425156507542,3.55527423903034,3739.58823529412,0.321088765940176,,8.18524700828976,3.99950949711278,4018.29411764706,0.608931700109419,,5.70000426613858,7.33969897851889,2605.58823529412,0.377656607127606,,13.1687830463287,5.89604136495878,2571.17857142857,0.608780893521809,,6.61465634715964,14.7075324694193,1209.10256410256,0.646368303773889,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
383.419190932187,579.553253859683,5117,0.0614247905019108,3.2163722210899,520.37657836098,986.238177766774,4039,0.930056291089535,3.54227152145394,581.315553897799,136.029839612085,2681,0.470622799422064,1.90939913814706,978.486163522013,897.929874213836,3180,0.4832880136965,24.3025529700648,,,,,
394.599894709134,581.677809949987,3799,0.0578848796593032,11.3807677917039,504.872200263505,984.427536231884,4554,0.614964582553161,15.6097457685049,584.265151515152,137.450378787879,2640,0.354484195807221,3.27384447618613,986.383018283235,904.584133870468,3227,0.868520587961667,10.3266396614638,,,,,
407.556647825018,579.077414598181,4069,0.0697127530508755,13.2151241875237,493.073776908023,983.755772994129,5110,0.567030309699607,11.817531871028,585.534241392357,139.145289443814,2643,0.352546289065375,2.11738311319144,990.788888888889,909.63950617284,3240,0.789272190519642,6.70585452491702,15.7375,563.803125,640,0.568273197032904,2.83302501459048
410.483768611179,574.459604588723,4097,0.297657384796258,5.4673764622735,492.496168205934,987.632737276479,5089,0.706035716210122,3.9197555866843,585.280832095097,139.236255572065,2692,0.251902150976969,0.269241728614282,988.723986167872,910.958189248664,3181,0.950964903865128,2.45005067329834,,,,,
401.60141509434,576.012221269297,4664,0.069641937232732,9.01702958600566,487.87370929309,989.178316123908,5036,0.524416771209496,4.87400660386888,587.626223091976,138.000391389432,2555,0.322918865662752,2.65107887588436,992.303462321792,917.322083212104,3437,0.767348662240503,7.30149271823159,,,,,
417.469471104758,575.231978762508,4897,0.0586230480223819,15.8872269423955,488.143036649215,990.98219895288,4775,0.452385336560488,1.82387787020301,596.273568125222,134.688722874422,2811,0.26698172402059,9.25979073615134,992.760407307577,918.874812818209,3339,0.695857936103081,1.61856972346276,17.180412371134,564.207903780069,582,0.523132964382336,1.49861334958871
411.336074937172,576.973954763537,4377,0.129875908310863,6.37597278356214,482.248051701197,979.750047519483,5261,0.885278894280855,12.6851122722702,600.030593438997,131.015481017324,2713,0.239040593397637,5.25432630782322,995.830136138614,927.643873762376,3232,0.463859465637605,9.29083768766924,19.7493138151876,559.642268984446,1093,0.717897161901592,5.23872844459961
412.293887867647,571.295266544118,4352,0.0414325400947383,5.75889794172061,478.171617752326,972.617752326414,5588,0.947262819507317,8.21504403278443,602.081943951756,129.330258957077,2819,0.322092360181193,2.65480928101019,996.420704182967,935.229611796569,3323,0.693905184776118,7.60869188089618,12.2366013071895,567.865359477124,765,0.548859272783758,11.1382254636274
412.546593080025,568.9592443218,4711,0.0303104365625271,2.34965098419426,477.384019711369,971.178634283703,5682,0.928675453067072,1.6405399766466,606.133356305996,126.810820124052,2902,0.404270210235564,4.77090285977823,980.162827895074,927.303582853487,3126,0.935201767226209,18.0870250787417,10.586255259467,570.886395511921,713,0.352414856204299,3.44242658611288
413.565581184984,567.912030755314,4422,0.0468488447740826,1.46116152833251,479.81666981667,974.954828954829,5291,0.959787216095929,4.49192973331728,607.014952589351,123.422684172137,2742,0.394592854271318,3.50095376083232,974.853264185479,923.616839536303,3278,0.793786841280548,6.46401911143893,,,,,
407.120535714286,569.250212585034,4704,0.0375503344250214,6.58250269493013,472.150452079566,966.147558770344,5530,0.990938720431803,11.6764250734208,610.86575735822,119.582555635319,2786,0.514846520047035,5.43831633386878,978.416305021699,928.67234965902,3226,0.56955847190779,6.18493674999769,,,,,
400.253012048193,571.561322211925,3237,0.178214848081391,7.24597191630313,468.430643361845,967.589252510227,5378,0.903598141365537,3.98941822024903,612.288838612368,118.3197586727,2652,0.494348556866799,1.90258151591724,986.243297204792,946.897604107245,3506,0.690443022497351,19.8348608852374,13.0793950850662,565.2797731569,529,0.549410097918312,6.13595635755475
400.567462138596,569.053464892152,4358,0.106189398132485,2.52749425235542,467.104683709647,959.17745848106,5359,0.991620596604873,8.51565897558041,619.750172771251,112.736351071182,2894,0.480398715563075,9.3191173334818,998.898133116883,965.939123376623,2464,0.922503942822835,22.8631653112178,10.53003003003,573.72972972973,666,0.4062934893703,8.82615591673687
428.598391555667,567.313144006032,3979,0.093459259647389,28.0849020075114,452.373851059839,951.679234665166,5331,0.967822100736052,16.52939172958,620.007597684515,113.585745296671,2764,0.686247065327818,0.887546131907777,999.375738616615,958.396941258255,2877,0.44556516107087,7.557289072148,,,,,
464.061533704391,560.167903525046,3234,0.0870468100366747,36.1758056246393,456.752441517147,955.465364524188,4403,0.791191960251035,5.78850876324925,626.369550858653,112.14035667107,3028,0.388600660451648,6.52407820837052,998.684455476264,937.8014272417,3223,0.64364566131027,20.6071121214555,,,,,
468.55591775326,564.376880641926,3988,0.07091207332295,6.15751381233871,447.790115392989,945.905072937078,4593,0.904881410125763,13.1042918460453,632.411804158283,110.637826961771,2982,0.264280122291936,6.22626858272455,990.245608721987,920.564203513022,3302,0.891372629239823,19.1920821281766,,,,,
485.815635005336,559.515208110992,3748,0.0402369177947389,17.93136077992,440.466442288656,940.861215600871,5051,0.927315858598551,8.89250721490571,640.244691607685,112.708796764408,2967,0.246085801154548,8.10203935552211,978.696778711485,912.112394957983,2856,0.673576437045683,14.3111335142436,17.529601722282,561.679224973089,929,0.562409095311987,13.9358770360816
505.447892271663,565.998536299766,3416,0.0535610688164066,20.6750833075607,437.183745583039,940.111700039262,5094,0.959864683069869,3.36717555796576,644.105688202247,113.114115168539,2848,0.222664209090282,3.88221299157468,972.294218268902,894.346903865891,2923,0.8214339349507,18.8839999460952,13.2696897374702,560.826968973747,838,0.922370629356851,4.34432853347427
549.243005344231,570.098082364036,3181,0.289216648832467,43.9865684837105,446.67266591676,950.629921259842,4445,0.693985235304842,14.1658951974376,647.939180537772,113.416133162612,3124,0.240124181386861,3.8453710295981,976.919084461638,907.419406834301,3102,0.604396924644282,13.8664963548757,,,,,
557.134544422367,585.608004541584,3523,0.780507983982236,17.4021284610626,425.349613426362,937.971148406562,5303,0.914458096781201,24.7975220064266,659.478759271746,116.572825354012,2966,0.205013732289125,11.9635522713297,976.602791878173,919.57423857868,3152,0.709735052275279,12.1589463249303,,,,,
