1,,,,,2,,,,,3,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
2.79320560476764,10.2612651208749,1146.85882352941,0.815177887502214,,10.4272635693275,45.6303395817808,1465.52941176471,0.515978865936374,,1.45323652287092,3.84584323869365,2349.34117647059,0.410783288391593,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
434.474747474747,313.135642135642,693,0.975324126245595,2.30779735362368,822.69776119403,520.672574626866,1072,0.192454483420362,10.6463358247503,863.997002997003,78.1948051948052,2002,0.376390418031578,1.52215567501019
434.102614379085,316.316993464052,1530,0.590681193120363,3.20304219698471,817.476555023923,521.324880382775,2090,0.52997987607942,5.26179595479998,864.355029585799,77.3175542406312,2028,0.390946755492233,0.947497902311108
436.72114821324,317.551845342706,1707,0.764984521438602,2.89509561203568,828.740066225166,519.318708609272,1208,0.451931444372182,11.4407783723534,867.226865671642,79.8691542288557,2010,0.420941212529868,3.84162791064644
437.232794733692,319.414123279473,1671,0.77926002261834,1.93128487687864,824.057245080501,506.731663685152,559,0.32400971912706,13.4299111610882,867.646100691017,80.2709772951629,2026,0.386790505350623,0.580706275225936
437.473489519112,318.976572133169,1622,0.66807655951588,0.499384606651633,828.736175115207,519.595622119816,868,0.263359785426831,13.6884554599279,866.772793053546,79.9281234925229,2073,0.38171278103053,0.938197718847226
433.741988496302,314.955628594906,1217,0.641985934290894,5.48562547218938,826.76563876652,508.664317180617,1135,0.775776926309867,11.1074948199516,865.811066799601,80.2442671984048,2006,0.360812853816867,1.01235578246708
436.873129862358,320.301017354877,1671,0.735657495939219,6.19493561301945,836.040567951319,512.743407707911,986,0.491562141661028,10.1322895197921,865.709018435476,79.3388141504733,2007,0.353441869865201,0.911185541275217
437.231390652048,318.530294287363,1733,0.599701897670347,1.80660205226753,826.066217732884,514.830527497194,891,0.144185082822892,10.1903744433065,865.824747474747,79.7045454545455,1980,0.341196515237709,0.38360474098872
436.104695089045,318.116567728009,1853,0.727199895875349,1.20025520519897,826.150497512438,510.509950248756,804,0.511090782244478,4.32139917630396,866.026091319619,78.8509784244857,1993,0.342340044546697,0.8769925989839
430.99226006192,310.334365325077,1292,0.348497834912918,9.31126555022284,825.120464441219,505.658925979681,689,0.369341066376222,4.95917378067799,866.09965969859,77.7039377734565,2057,0.359367723749639,1.14939747759338
433.812720848057,315.901060070671,1415,0.696541377556315,6.24043984321303,833.382631126397,516.581255374033,1163,0.95621256913446,13.695279395923,866.04759543877,80.4833911750124,2017,0.367142308691773,2.77994098832535
438.424597364568,319.552464616886,2049,0.703405096066095,5.8823600844958,814.29359430605,525.064650059312,1686,0.974618844807161,20.8892152106009,865.451903807615,79.1202404809619,1996,0.355860118124105,1.48762506503441
437.119624320316,320.018783984182,2023,0.613043660479519,1.3857880063482,825.124439461883,512.150224215247,892,0.304510130365722,16.8549577772092,864.395138226883,79.9428026692088,2098,0.441468339041091,1.3391646822383
438.586306653809,320.661041465767,2074,0.675610102521215,1.60114076209158,837.368301026226,515.643101482326,877,0.759546484576131,12.7323343346639,867.12628992629,80.4722358722359,2035,0.340053219169214,2.78199373141678
432.368988391376,311.602819237148,1206,0.804543209762041,10.9866480930003,827.924050632911,512.03164556962,790,0.624100307666951,10.1112056304398,865.775063613232,80.4035623409669,1965,0.352593733225934,1.35297028903018
438.46185852982,316.705270457698,1442,0.932261098563324,7.94720548255968,838.660418168709,514.919250180245,1387,0.604379107757495,11.1179066487824,867.274725274725,79.2262737262737,2002,0.362203582537802,1.90656591316439
432.890763765542,310.767317939609,1126,0.542873906684265,8.14225871485532,833.930824008138,512.602238046795,983,0.591532876737799,5.26665037288998,866.748481781377,81.1467611336032,1976,0.383270689163653,1.99128202322098
436.618909090909,314.054545454545,1375,0.932571164634872,4.97040564763199,821.78,510.268333333333,1200,0.195975690551607,12.3729396381083,866.673058013766,79.2930186823992,2034,0.353976739494282,1.85527621127327
436.812541254125,314.580858085809,1515,0.979084529441179,0.560801569593863,826.603995299648,509.89776733255,851,0.667021888093591,4.8382072931984,865.951604686704,80.7697401935813,1963,0.364732181007877,1.64353318333294
428.62908680947,308.895152198422,887,0.933418605997932,9.96474676475092,823,508.622340425532,752,0.57436867813376,3.82302183031004,866.478372811535,81.0695159629248,1942,0.34860419810547,0.606094191708641
427.147435897436,305.882478632479,936,0.620547726156267,3.35730419236384,823.942542787286,506.449877750611,818,0.379359103778664,2.36811760260937,866.441161989168,80.9704579025111,2031,0.324706111159476,0.10581656124699
436.082861189802,315.449008498584,1412,0.978027745997093,13.0904667156877,839.408759124088,515.070559610706,1233,0.487765716061059,17.706496082221,866.476510067114,80.6602994321115,1937,0.348576200200483,0.312166243170339
432.01323407775,311.841191066998,1209,0.808941662216543,5.43858542736994,826.350864012021,518.882794891059,1331,0.33126501838306,13.6030056454633,866.002592016589,79.9118714359772,1929,0.371420225217239,0.885857090060938
434.286036036036,312.009009009009,1332,0.645831968890886,2.27898916260012,833.52176578786,518.426732066217,1631,0.908579005419737,7.18538973048343,865.628509719223,79.5226781857451,1852,0.344237581468283,0.539823074005829
428.375102375102,314.043407043407,1221,0.291053183662095,6.25123284691279,814.312931885489,525.158440276407,2026,0.943463371317012,20.3542426858882,865.800520833333,80.0083333333333,1920,0.359978018983876,0.515217183095197
429.356835769561,308.355975924334,1163,0.958796682685221,5.7715399324618,821.68,507.434074074074,675,0.575486278276338,19.1944484129719,865.566899516389,79.7399247716282,1861,0.360489910812327,0.355839958025224
430.193765796125,307.376579612468,1187,0.63672781864872,1.28828141531977,826.177389705882,520.935661764706,1088,0.224080692890453,14.2309305505436,865.960109289617,79.2737704918033,1830,0.344839433176769,0.609847307415021
,,,,,,,,,,,,,,
