1,,,,,2,,,,,3,,,,,4,,,,,72,,,,,132,,,,,249,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
8.04022957076715,3.56242432807771,2384.17073170732,0.414533076776937,,5.58111301659102,6.67738794100622,4121.23529411765,0.620194293808071,,8.32601575837542,6.99991750605093,3692.76666666667,0.273121965060606,,9.77658360227036,9.61657017115349,3268.29113924051,0.261440410911533,,13.7225632713484,1.64267089481729,3169.13636363636,0.532438443165873,,13.3298869923355,5.44007869641065,3039,0.585695318888746,,4.79001259899629,5.30406166684167,1396.27272727273,0.513543886479069,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
519.764471780029,35.6671490593343,2764,0.474947560245072,3.28472602479274,817.95629510826,939.431836407378,4988,0.290788299425429,3.17253151318886,958.68686244204,631.712519319938,3235,0.55466311908114,0.689020922135361,980.295681063123,493.038759689922,903,0.738811611825848,1.55900967589134,,,,,,,,,,,,,,,
515.56976744186,36.6299589603283,2924,0.450332919027007,4.30378291623801,816.643639740019,937.981987000928,5385,0.286055676058958,1.95579329612147,957.429857682254,633.338077258205,3443,0.493549935107213,2.05487215582568,985.794087665647,495.107033639144,981,0.391037488423331,5.8745410285154,,,,,,,,,,,,,,,
516.301873453517,38.1155885471898,2829,0.595352644087854,1.65622295650742,814.28536074624,935.631639063392,5253,0.255523434393395,3.32950675625934,956.152793946449,624.795983701979,3436,0.252123631125158,8.63702808312129,984.121978021978,493.367032967033,910,0.529420907725717,2.41320388682714,,,,,,,,,,,,,,,
522.583840974671,36.4713049054184,3119,0.289142271648449,6.4935956627614,811.36061333826,935.955477554037,5413,0.300531087884693,2.942621071173,957.842511836531,622.393222028408,4013,0.173362949462731,2.93741556611355,987.326820603908,492.988454706927,1126,0.403113700942673,3.22712526468588,,,,,,,,,,,,,,,
522.070895522388,40.1241519674356,2948,0.243795783453235,3.68868603916157,809.490516920788,938.23187058386,5378,0.334581794877511,2.94605258555724,960.447978952404,618.354460655346,4181,0.152186906983124,4.8062513792384,985.596396396396,474.66966966967,1665,0.136324739775615,18.4003329638132,,,,,,,,,,,,,,,
525.254082299151,38.8282168517309,3062,0.205206571399408,3.4368773443163,809.189285010833,935.738231238921,5077,0.415812253083357,2.5117678726757,961.08736196319,621.761963190184,4075,0.271027912968483,3.46697045839914,981.746150024839,482.446597118728,2013,0.131946945106589,8.67784522042283,,,,,,,,,,,,,,,
539.622298778578,29.6918258690886,3193,0.147722570422639,17.027016326632,806.940339247417,933.313316435952,5129,0.472861761771774,3.30726002129309,967.545914678236,572.544649313087,5532,0.0430744883422296,49.6392676058951,,,,,,,,,,,,,,,,,,,,
526.326258338387,41.3768950879321,3298,0.198267441316206,17.7010037578767,800.659884343543,929.452131077318,4669,0.723701615340503,7.37243963510897,967.180653311677,571.724417975095,5541,0.0490305247384186,0.897883797451518,,,,,,,,,,,,,,,,,,,,
532.89645434578,36.8164417947913,3187,0.136438745809655,7.99782531782728,802.254989908051,930.357254989908,4459,0.84433764730879,1.83401501058953,962.029670605984,602.134523510183,3977,0.113460171271635,30.8432673607965,985.10780141844,466.24609929078,1410,0.103232217843978,16.5455985073207,,,,,,,,,,,,,,,
539.204760451633,32.3747329874886,3277,0.117170615451159,7.71514763656616,801.197255223269,930.604875051209,4882,0.827210664634143,1.086332526508,961.030150753769,606.891827558847,3781,0.163384121707384,4.86117082053308,984.916666666667,466.757645259939,1308,0.131641853112827,0.546087696160506,621.457478005865,1014.93255131965,682,0.369553494976918,0,,,,,,,,,,
