1,,,,,2,,,,,17,,,,,64,,,,,108,,,,,115,,,,,254,,,,
Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,,Velocity(pixels/frame),Tortuosity(pixels/pixels),Mean Area(pixels.^2),Mean Covarience,
9.02834643221865,13.8992177047292,3149.6,0.208313554445213,,9.16876851191866,21.2002957975641,3777.37647058824,0.496246758286225,,4.66028366406796,1.64276506380913,3400.85714285714,0.550097792539463,,14.2649967585283,6.06496960952611,2332.41176470588,0.364410628345289,,8.83230051704339,18.6291225243564,3213.82,0.290006966925701,,9.64507616897581,2.03562636262098,3307.59090909091,0.597555264110584,,9.39021304650946,5.84203409092486,2999.84615384615,0.402862520975123,
x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame,x(Pixel Position),y(Pixel Position),Area(pixels.^2),Covariance,Pixels/Frame
637.643507972665,1017.68792710706,878,0.0652507797333657,8.6560080471289,856.223972748563,279.533319139877,4697,0.240666261755009,5.68578064125124,14.2722007722008,898.301158301158,518,0.422174800388212,0,,,,,,,,,,,,,,,,,,,,
638.290546400694,1016.58109280139,1153,0.074004985159125,1.28208459454207,855.994695523021,282.229365584553,4713,0.236032720298099,2.70577798017623,,,,,,,,,,,,,,,,,,,,,,,,,
621.580182529335,1016.40417209909,767,0.209692622946246,16.7113004176251,855.842048864123,281.992284612087,4666,0.207548187771827,0.281972321297888,,,,,,,,,,,,,,,,,,,,,,,,,
642.898719441211,1015.12339930151,1718,0.0722137465662381,21.3569753247507,856.187918015102,282.486084142395,4635,0.199747221399554,0.602879296153708,,,,,,,,,,,,,,,,,,,,,,,,,
644.440959409594,1016.58948339483,1084,0.0647545079261569,2.12788784684883,856.246656434992,286.081561061171,4561,0.206136391642896,3.59595668430838,,,,,,,,,,,,,,,,,,,,,,,,,
653.208564631245,1016.49088025377,1261,0.0599130444032615,8.76815966449908,854.220196353436,280.990883590463,2852,0.177924778708098,5.47919132472251,,,,,,,,,,,,,,,,,,,,,,,,,
659.478676002546,1015.9898154042,1571,0.0553542497595395,6.29010036422235,836.919701213819,233.337068160598,1071,0.621221019571648,50.697073456952,,,,,,,,,,,,,,,,,,,,,,,,,
625.963660834455,1013.87752355316,743,0.653006308165103,33.5815130478266,834.275154004107,228.887063655031,974,0.742150413943479,5.17650171872476,,,,,,,,,,,,,,,,,,,,,,,,,
659.715739078396,1015.88210652304,1671,0.0370021627407406,33.8115533311951,833.564777327935,227.976720647773,988,0.781186100060115,1.15471183111252,12.0761421319797,899.851099830795,591,0.994349582748801,2.68793457818136,,,,,,,,,,,,,,,,,,,,
655.623774509804,1013.72058823529,2448,0.0613938745109064,4.62777866139629,831.17555771096,224.54898157129,1031,0.680791685076257,4.17824910154821,13.4388984509466,896.067125645439,581,0.673520062283218,4.02188580398901,,,,,,,,,,,,,,,,,,,,
